==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─ReLU: 3-77                   [1, 125, 28, 28]          --
│    │    └─Conv2d: 3-78                 [1, 87, 28, 28]           97,875
│    │    └─BatchNorm2d: 3-79            [1, 87, 28, 28]           174
│    │    └─Identity: 3-80               [1, 87, 28, 28]           --
│    │    └─ReLU: 3-81                   [1, 87, 28, 28]           --
│    │    └─Identity: 3-82               [1, 87, 28, 28]           --
│    │    └─Conv2d: 3-83                 [1, 171, 28, 28]          14,877
│    │    └─BatchNorm2d: 3-84            [1, 171, 28, 28]          342
│    │    └─EcaModule: 3-85              [1, 171, 28, 28]          5
│    │    └─ReLU: 3-86                   [1, 171, 28, 28]          --
├─Sequential: 1-7                        [1, 818, 14, 14]          --
│    └─Bottleneck: 2-15                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-87                 [1, 198, 28, 28]          33,858
│    │    └─BatchNorm2d: 3-88            [1, 198, 28, 28]          396
│    │    └─ReLU: 3-89                   [1, 198, 28, 28]          --
│    │    └─Conv2d: 3-90                 [1, 126, 14, 14]          224,532
│    │    └─BatchNorm2d: 3-91            [1, 126, 14, 14]          252
│    │    └─Identity: 3-92               [1, 126, 14, 14]          --
│    │    └─ReLU: 3-93                   [1, 126, 14, 14]          --
│    │    └─Identity: 3-94               [1, 126, 14, 14]          --
│    │    └─Conv2d: 3-95                 [1, 818, 14, 14]          103,068
│    │    └─BatchNorm2d: 3-96            [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-97              [1, 818, 14, 14]          5
│    │    └─Sequential: 3-98             [1, 818, 14, 14]          141,514
│    │    └─ReLU: 3-99                   [1, 818, 14, 14]          --
│    └─Bottleneck: 2-16                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-100                [1, 255, 14, 14]          208,590
│    │    └─BatchNorm2d: 3-101           [1, 255, 14, 14]          510
│    │    └─ReLU: 3-102                  [1, 255, 14, 14]          --
│    │    └─Conv2d: 3-103                [1, 232, 14, 14]          532,440
│    │    └─BatchNorm2d: 3-104           [1, 232, 14, 14]          464
│    │    └─Identity: 3-105              [1, 232, 14, 14]          --
│    │    └─ReLU: 3-106                  [1, 232, 14, 14]          --
│    │    └─Identity: 3-107              [1, 232, 14, 14]          --
│    │    └─Conv2d: 3-108                [1, 818, 14, 14]          189,776
│    │    └─BatchNorm2d: 3-109           [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-110             [1, 818, 14, 14]          5
│    │    └─ReLU: 3-111                  [1, 818, 14, 14]          --
│    └─Bottleneck: 2-17                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-112                [1, 256, 14, 14]          209,408
│    │    └─BatchNorm2d: 3-113           [1, 256, 14, 14]          512
│    │    └─ReLU: 3-114                  [1, 256, 14, 14]          --
│    │    └─Conv2d: 3-115                [1, 233, 14, 14]          536,832
│    │    └─BatchNorm2d: 3-116           [1, 233, 14, 14]          466
│    │    └─Identity: 3-117              [1, 233, 14, 14]          --
│    │    └─ReLU: 3-118                  [1, 233, 14, 14]          --
│    │    └─Identity: 3-119              [1, 233, 14, 14]          --
│    │    └─Conv2d: 3-120                [1, 818, 14, 14]          190,594
│    │    └─BatchNorm2d: 3-121           [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-122             [1, 818, 14, 14]          5
│    │    └─ReLU: 3-123                  [1, 818, 14, 14]          --
│    └─Bottleneck: 2-18                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-124                [1, 253, 14, 14]          206,954
│    │    └─BatchNorm2d: 3-125           [1, 253, 14, 14]          506
│    │    └─ReLU: 3-126                  [1, 253, 14, 14]          --
│    │    └─Conv2d: 3-127                [1, 235, 14, 14]          535,095
│    │    └─BatchNorm2d: 3-128           [1, 235, 14, 14]          470
│    │    └─Identity: 3-129              [1, 235, 14, 14]          --
│    │    └─ReLU: 3-130                  [1, 235, 14, 14]          --
│    │    └─Identity: 3-131              [1, 235, 14, 14]          --
│    │    └─Conv2d: 3-132                [1, 818, 14, 14]          192,230
│    │    └─BatchNorm2d: 3-133           [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-134             [1, 818, 14, 14]          5
│    │    └─ReLU: 3-135                  [1, 818, 14, 14]          --
│    └─Bottleneck: 2-19                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-136                [1, 256, 14, 14]          209,408
│    │    └─BatchNorm2d: 3-137           [1, 256, 14, 14]          512
│    │    └─ReLU: 3-138                  [1, 256, 14, 14]          --
│    │    └─Conv2d: 3-139                [1, 225, 14, 14]          518,400
│    │    └─BatchNorm2d: 3-140           [1, 225, 14, 14]          450
│    │    └─Identity: 3-141              [1, 225, 14, 14]          --
│    │    └─ReLU: 3-142                  [1, 225, 14, 14]          --
│    │    └─Identity: 3-143              [1, 225, 14, 14]          --
│    │    └─Conv2d: 3-144                [1, 818, 14, 14]          184,050
│    │    └─BatchNorm2d: 3-145           [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-146             [1, 818, 14, 14]          5
│    │    └─ReLU: 3-147                  [1, 818, 14, 14]          --
│    └─Bottleneck: 2-20                  [1, 818, 14, 14]          --
│    │    └─Conv2d: 3-148                [1, 256, 14, 14]          209,408
│    │    └─BatchNorm2d: 3-149           [1, 256, 14, 14]          512
│    │    └─ReLU: 3-150                  [1, 256, 14, 14]          --
│    │    └─Conv2d: 3-151                [1, 239, 14, 14]          550,656
│    │    └─BatchNorm2d: 3-152           [1, 239, 14, 14]          478
│    │    └─Identity: 3-153              [1, 239, 14, 14]          --
│    │    └─ReLU: 3-154                  [1, 239, 14, 14]          --
│    │    └─Identity: 3-155              [1, 239, 14, 14]          --
│    │    └─Conv2d: 3-156                [1, 818, 14, 14]          195,502
│    │    └─BatchNorm2d: 3-157           [1, 818, 14, 14]          1,636
│    │    └─EcaModule: 3-158             [1, 818, 14, 14]          5
│    │    └─ReLU: 3-159                  [1, 818, 14, 14]          --
├─Sequential: 1-8                        [1, 2022, 7, 7]           --
│    └─Bottleneck: 2-21                  [1, 2022, 7, 7]           --
│    │    └─Conv2d: 3-160                [1, 492, 14, 14]          402,456
│    │    └─BatchNorm2d: 3-161           [1, 492, 14, 14]          984
│    │    └─ReLU: 3-162                  [1, 492, 14, 14]          --
│    │    └─Conv2d: 3-163                [1, 237, 7, 7]            1,049,436
│    │    └─BatchNorm2d: 3-164           [1, 237, 7, 7]            474
│    │    └─Identity: 3-165              [1, 237, 7, 7]            --
│    │    └─ReLU: 3-166                  [1, 237, 7, 7]            --
│    │    └─Identity: 3-167              [1, 237, 7, 7]            --
│    │    └─Conv2d: 3-168                [1, 2022, 7, 7]           479,214
│    │    └─BatchNorm2d: 3-169           [1, 2022, 7, 7]           4,044
│    │    └─EcaModule: 3-170             [1, 2022, 7, 7]           7
│    │    └─Sequential: 3-171            [1, 2022, 7, 7]           1,658,040
│    │    └─ReLU: 3-172                  [1, 2022, 7, 7]           --
│    └─Bottleneck: 2-22                  [1, 2022, 7, 7]           --
│    │    └─Conv2d: 3-173                [1, 512, 7, 7]            1,035,264
│    │    └─BatchNorm2d: 3-174           [1, 512, 7, 7]            1,024
│    │    └─ReLU: 3-175                  [1, 512, 7, 7]            --
│    │    └─Conv2d: 3-176                [1, 500, 7, 7]            2,304,000
│    │    └─BatchNorm2d: 3-177           [1, 500, 7, 7]            1,000
│    │    └─Identity: 3-178              [1, 500, 7, 7]            --
│    │    └─ReLU: 3-179                  [1, 500, 7, 7]            --
│    │    └─Identity: 3-180              [1, 500, 7, 7]            --
│    │    └─Conv2d: 3-181                [1, 2022, 7, 7]           1,011,000
│    │    └─BatchNorm2d: 3-182           [1, 2022, 7, 7]           4,044
│    │    └─EcaModule: 3-183             [1, 2022, 7, 7]           7
│    │    └─ReLU: 3-184                  [1, 2022, 7, 7]           --
│    └─Bottleneck: 2-23                  [1, 2022, 7, 7]           --
│    │    └─Conv2d: 3-185                [1, 512, 7, 7]            1,035,264
│    │    └─BatchNorm2d: 3-186           [1, 512, 7, 7]            1,024
