==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─Identity: 3-76               [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-77                 [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-78            [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-79                   [1, 512, 32, 32]          --
│    └─Bottleneck: 2-15                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-80                 [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-81            [1, 128, 32, 32]          256
│    │    └─ReLU: 3-82                   [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-83                 [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-84            [1, 128, 32, 32]          256
│    │    └─Identity: 3-85               [1, 128, 32, 32]          --
│    │    └─ReLU: 3-86                   [1, 128, 32, 32]          --
│    │    └─Identity: 3-87               [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-88                 [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-89            [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-90                   [1, 512, 32, 32]          --
│    └─Bottleneck: 2-16                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-91                 [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-92            [1, 128, 32, 32]          256
│    │    └─ReLU: 3-93                   [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-94                 [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-95            [1, 128, 32, 32]          256
│    │    └─Identity: 3-96               [1, 128, 32, 32]          --
│    │    └─ReLU: 3-97                   [1, 128, 32, 32]          --
│    │    └─Identity: 3-98               [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-99                 [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-100           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-101                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-17                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-102                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-103           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-104                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-105                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-106           [1, 128, 32, 32]          256
│    │    └─Identity: 3-107              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-108                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-109              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-110                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-111           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-112                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-18                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-113                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-114           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-115                  [1, 128, 32, 32]          --
