==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
├─Conv2d: 1-1                            [1, 64, 112, 112]         9,408
├─BatchNorm2d: 1-2                       [1, 64, 112, 112]         128
├─ReLU: 1-3                              [1, 64, 112, 112]         --
├─MaxPool2d: 1-4                         [1, 64, 56, 56]           --
├─Sequential: 1-5                        [1, 256, 56, 56]          --
│    └─Bottle2neck: 2-1                  [1, 256, 56, 56]          --
│    │    └─Conv2d: 3-1                  [1, 112, 56, 56]          7,168
│    │    └─BatchNorm2d: 3-2             [1, 112, 56, 56]          224
│    │    └─ReLU: 3-3                    [1, 112, 56, 56]          --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-6                    [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-9                    [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-12                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-15                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-18                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-21                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-22             --                        (recursive)
│    │    └─ModuleList: 3-23             --                        (recursive)
│    │    └─ReLU: 3-24                   [1, 14, 56, 56]           --
│    │    └─AvgPool2d: 3-25              [1, 14, 56, 56]           --
│    │    └─Conv2d: 3-26                 [1, 256, 56, 56]          28,672
│    │    └─BatchNorm2d: 3-27            [1, 256, 56, 56]          512
│    │    └─Sequential: 3-28             [1, 256, 56, 56]          16,896
│    │    └─ReLU: 3-29                   [1, 256, 56, 56]          --
│    └─Bottle2neck: 2-2                  [1, 256, 56, 56]          --
│    │    └─Conv2d: 3-30                 [1, 112, 56, 56]          28,672
│    │    └─BatchNorm2d: 3-31            [1, 112, 56, 56]          224
│    │    └─ReLU: 3-32                   [1, 112, 56, 56]          --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-35                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-38                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-41                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-44                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-47                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-50                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-51             --                        (recursive)
│    │    └─ModuleList: 3-52             --                        (recursive)
│    │    └─ReLU: 3-53                   [1, 14, 56, 56]           --
│    │    └─Conv2d: 3-54                 [1, 256, 56, 56]          28,672
│    │    └─BatchNorm2d: 3-55            [1, 256, 56, 56]          512
│    │    └─ReLU: 3-56                   [1, 256, 56, 56]          --
│    └─Bottle2neck: 2-3                  [1, 256, 56, 56]          --
│    │    └─Conv2d: 3-57                 [1, 112, 56, 56]          28,672
│    │    └─BatchNorm2d: 3-58            [1, 112, 56, 56]          224
│    │    └─ReLU: 3-59                   [1, 112, 56, 56]          --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-62                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-65                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-68                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-71                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-74                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-77                   [1, 14, 56, 56]           --
│    │    └─ModuleList: 3-78             --                        (recursive)
│    │    └─ModuleList: 3-79             --                        (recursive)
│    │    └─ReLU: 3-80                   [1, 14, 56, 56]           --
│    │    └─Conv2d: 3-81                 [1, 256, 56, 56]          28,672
│    │    └─BatchNorm2d: 3-82            [1, 256, 56, 56]          512
