==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
├─Sequential: 1-1                        [1, 64, 144, 144]         --
│    └─Conv2d: 2-1                       [1, 32, 144, 144]         864
│    └─BatchNorm2d: 2-2                  [1, 32, 144, 144]         64
│    └─ReLU: 2-3                         [1, 32, 144, 144]         --
│    └─Conv2d: 2-4                       [1, 32, 144, 144]         9,216
│    └─BatchNorm2d: 2-5                  [1, 32, 144, 144]         64
│    └─ReLU: 2-6                         [1, 32, 144, 144]         --
│    └─Conv2d: 2-7                       [1, 64, 144, 144]         18,432
├─BatchNorm2d: 1-2                       [1, 64, 144, 144]         128
├─ReLU: 1-3                              [1, 64, 144, 144]         --
├─Sequential: 1-4                        [1, 64, 72, 72]           --
│    └─Conv2d: 2-8                       [1, 64, 72, 72]           36,864
│    └─BatchNorm2d: 2-9                  [1, 64, 72, 72]           128
│    └─ReLU: 2-10                        [1, 64, 72, 72]           --
├─Sequential: 1-5                        [1, 256, 72, 72]          --
│    └─Bottleneck: 2-11                  [1, 256, 72, 72]          --
│    │    └─Conv2d: 3-1                  [1, 64, 72, 72]           4,096
│    │    └─BatchNorm2d: 3-2             [1, 64, 72, 72]           128
│    │    └─ReLU: 3-3                    [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-4                  [1, 64, 72, 72]           36,864
│    │    └─BatchNorm2d: 3-5             [1, 64, 72, 72]           128
│    │    └─Identity: 3-6                [1, 64, 72, 72]           --
│    │    └─ReLU: 3-7                    [1, 64, 72, 72]           --
│    │    └─Identity: 3-8                [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-9                  [1, 256, 72, 72]          16,384
│    │    └─BatchNorm2d: 3-10            [1, 256, 72, 72]          512
│    │    └─SEModule: 3-11               [1, 256, 72, 72]          33,088
│    │    └─Sequential: 3-12             [1, 256, 72, 72]          16,896
│    │    └─ReLU: 3-13                   [1, 256, 72, 72]          --
│    └─Bottleneck: 2-12                  [1, 256, 72, 72]          --
│    │    └─Conv2d: 3-14                 [1, 64, 72, 72]           16,384
│    │    └─BatchNorm2d: 3-15            [1, 64, 72, 72]           128
│    │    └─ReLU: 3-16                   [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-17                 [1, 64, 72, 72]           36,864
│    │    └─BatchNorm2d: 3-18            [1, 64, 72, 72]           128
│    │    └─Identity: 3-19               [1, 64, 72, 72]           --
│    │    └─ReLU: 3-20                   [1, 64, 72, 72]           --
│    │    └─Identity: 3-21               [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-22                 [1, 256, 72, 72]          16,384
│    │    └─BatchNorm2d: 3-23            [1, 256, 72, 72]          512
│    │    └─SEModule: 3-24               [1, 256, 72, 72]          33,088
│    │    └─ReLU: 3-25                   [1, 256, 72, 72]          --
│    └─Bottleneck: 2-13                  [1, 256, 72, 72]          --
│    │    └─Conv2d: 3-26                 [1, 64, 72, 72]           16,384
│    │    └─BatchNorm2d: 3-27            [1, 64, 72, 72]           128
│    │    └─ReLU: 3-28                   [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-29                 [1, 64, 72, 72]           36,864
│    │    └─BatchNorm2d: 3-30            [1, 64, 72, 72]           128
│    │    └─Identity: 3-31               [1, 64, 72, 72]           --
│    │    └─ReLU: 3-32                   [1, 64, 72, 72]           --
│    │    └─Identity: 3-33               [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-34                 [1, 256, 72, 72]          16,384
│    │    └─BatchNorm2d: 3-35            [1, 256, 72, 72]          512
│    │    └─SEModule: 3-36               [1, 256, 72, 72]          33,088
│    │    └─ReLU: 3-37                   [1, 256, 72, 72]          --
│    └─Bottleneck: 2-14                  [1, 256, 72, 72]          --
│    │    └─Conv2d: 3-38                 [1, 64, 72, 72]           16,384
│    │    └─BatchNorm2d: 3-39            [1, 64, 72, 72]           128
│    │    └─ReLU: 3-40                   [1, 64, 72, 72]           --
│    │    └─Conv2d: 3-41                 [1, 64, 72, 72]           36,864
